Code;Title
FOODBORNE_ILL_100K_GE5;Foodborne illnesses per 100 000, aged 5 years and above
FOODBORNE_ILL_100K_LT5;Foodborne illnesses per 100 000, aged less than 5 years
FOODBORNE_ILL_100K_TOTAL;Foodborne illnesses per 100 000, all ages
FOODBORNE_ILL_GE5;Foodborne illnesses, aged 5 years and above
FOODBORNE_ILL_LT5;Foodborne illnesses, aged less than 5 years
FOODBORNE_ILL_TOTAL;Foodborne illnesses, all ages
FOODBORNE_YLD;Foodborne years lived with disability
FOODBORNE_YLD_100K;Foodborne years lived with disability per 100 000
FOODBORNE_YLD_100K_GE5;Foodborne years lived with disability per 100 000, aged 5 years and above
FOODBORNE_YLD_100K_LT5;Foodborne years lived with disability per 100 000, aged less than 5 years
FOODBORNE_YLD_100K_TOTAL;Foodborne years lived with disability per 100 000, all ages
FOODBORNE_YLD_CASE;Foodborne years lived with disability per case
FOODBORNE_YLD_CASE_GE5;Foodborne years lived with disability per case, aged 5 years and above
FOODBORNE_YLD_CASE_LT5;Foodborne years lived with disability per case, aged less than 5 years
FOODBORNE_YLD_CASE_TOTAL;Foodborne years lived with disability per case, all ages
FOODBORNE_YLD_GE5;Foodborne years lived with disability, aged 5 years and above
FOODBORNE_YLD_LT5;Foodborne years lived with disability, aged less than 5 years
FOODBORNE_YLD_TOTAL;Foodborne years lived with disability, all ages
FOODBORNE_YLL;Foodborne years of life lost
FOODBORNE_YLL_100K;Foodborne years of life lost per 100 000
FOODBORNE_YLL_100K_GE5;Foodborne years of life lost per 100 000, aged 5 years and above
